Starbucks Coffee
Justin Bieber
Abraham Lincoln
George Washington
Space Ship
Mount Rainier
Middle School
Great Wall
Japan Tsunami
Queen Elizabeth
Ski Resort
Highlight Pen
Color Pencil
Index Card
Opium War
Charlie Chaplin
Childhood Memory
Dentist Appointment
Chocolate Bar
World Cup
Yellow Fever
Local News
Iron Man
King Arthur
Potato Chips
Mont Blanc
Himeji Castle
Pythagorean Theorem
Turkey Dinner
Computer Science
Big Bang
Black Panther
Internet Explorer
Google Search
Election Day
Captain America
California University
Merry Christmas
Happy Easter
Social Security
Musical Instruments
Native American
Bill Gates
Play Store
Apple Pay
Microwave Oven
Steve Jobs
Microsoft Word
Samsung Galaxy
Amazon Prime
Honda Civic
Toyota Camry
Bellevue College
Fast Food
Fantastic Five
Shawn Mendes
Tiger Shark
Hong Kong
United States
Donald Trump
Homer Simpson
Table Tennis
Angry Bird
Nintendo Switch
William Shakespeare
Harry Potter
Weight Training
Logan Paul
Dragon Ball
Milk Tea
Video Game
Zigzag Path
Jurassic Park
Barack Obama
Thunder Storm
Capital Punishment
Post Office
South Korea
Fire Truck
Police Station
State Court
Electric Car
Compound Interest
Graphing Calculator
Pacific Ocean
Washing Machine
Nike Shoes
Children Playground
Red Bean
Ice Cream
Transit Center
Treasure Island
Bus Stop
Cell Phone
Protein Powder
Caesar Salad
Orange Juice
Disneyland Sea
North Pole
Solar System
