Starbucks Coffee Star
Justin Bieber Jus
Abraham Lincoln Ab
George Washington Ge
Space Ship Sp
Mount Rainier Mou
Middle School Mid
Great Wall Gre
Japan Tsunami Ja
Queen Elizabeth Q
Ski Resort Sk
Highlight Pen Hig
Color Pencil Col
Index Card Ind
Opium War Op
Charlie Chaplin Cha
Childhood Memory Childh
Dentist Appointment De
Chocolate Bar Cho
World Cup Wo
Yellow Fever Y
Local News Loc
Iron Man Ir
King Arthur K
Potato Chips Pot
Mont Blanc Mon
Himeji Castle Him
Pythagorean Theorem Py
Turkey Dinner Tu
Computer Science Compu
Big Bang Big
Black Panther Bl
Internet Explorer Int
Google Search Go
Election Day Electi
Captain America Capt
California University Cal
Merry Christmas Me
Happy Easter Hap
Social Security Soc
Musical Instruments Mu
Native American Na
Bill Gates Bil
Play Store Pl
Apple Pay Ap
Microwave Oven Microw
Steve Jobs Ste
Microsoft Word Micros
Samsung Galaxy Sa
Amazon Prime Am
Honda Civic Hond
Toyota Camry To
Bellevue College Be
Fast Food Fas
Fantastic Five Fan
Shawn Mendes Sh
Tiger Shark Ti
Hong Kong Hong
United States U
Donald Trump Do
Homer Simpson Hom
Table Tennis Ta
Angry Bird An
Nintendo Switch Nin
William Shakespeare Wi
Harry Potter Har
Weight Training We
Logan Paul Log
Dragon Ball Dr
Milk Tea Mil
Video Game V
Zigzag Path Z
Jurassic Park Jur
Barack Obama Ba
Thunder Storm Th
Capital Punishment Capi
Post Office Pos
South Korea Sou
Fire Truck Fi
Police Station Pol
State Court Stat
Electric Car Electr
Compound Interest Compo
Graphing Calculator Gra
Pacific Ocean Pa
Washing Machine Wa
Nike Shoes Nik
Children Playground Childr
Red Bean R
Ice Cream Ic
Transit Center Tra
Treasure Island Tre
Bus Stop Bu
Cell Phone Ce
Protein Powder Pr
Caesar Salad Cae
Orange Juice Or
Disneyland Sea Di
North Pole No
Solar System Sol
